Entity,Code,Year,"Hospital beds (per 1,000 people)",time
Afghanistan,AFG,2019,0.38,2019
Albania,ALB,2019,2.85,2019
Algeria,,,1.63,2017
Andorra,,,,2019
Angola,AGO,2019,0.75,2019
Antigua and Barbuda,,,3.29,2020
Argentina,ARG,2019,3.71,2019
Armenia,ARM,2019,4.18,2019
Australia,,,3.84,2016
Austria,AUT,2019,7.19,2019
Azerbaijan,AZE,2019,3.9,2019
Bahamas,BHS,2019,2.7,2019
Bahrain,BHR,2019,1.74,2019
Bangladesh,BGD,2019,0.88,2019
Barbados,BRB,2019,5.74,2019
Belarus,BLR,2019,9.69,2019
Belgium,BEL,2019,5.56,2019
Belize,,,1.03,2018
Benin,BEN,2019,0.42,2019
Bhutan,BTN,2019,2.08,2019
Bolivia,BOL,2019,1.26,2019
Bosnia and Herzegovina,BIH,2019,2.34,2019
Botswana,BWA,2019,2.3,2019
Brazil,BRA,2019,2.24,2019
Brunei,BRN,2019,3.7,2019
Bulgaria,BGR,2019,7.66,2019
Burkina Faso,,,0.2,2020
Burundi,,,0.71,2014
Cambodia,,,0.74,2018
Cameroon,,,2.65,2016
Canada,CAN,2019,2.53,2019
Cape Verde,,,1.97,2018
Central African Republic,,,,2019
Chad,,,0.45,2017
Chile,CHL,2019,2.04,2019
China,CHN,2019,4.83,2019
Colombia,COL,2019,1.74,2019
Comoros,,,,2019
Congo,,,,2019
Costa Rica,CRI,2019,1.09,2019
Cote d'Ivoire,,,,2019
Croatia,HRV,2019,5.58,2019
Cuba,CUB,2019,4.17,2019
Cyprus,CYP,2019,2.24,2019
Czechia,CZE,2019,6.66,2019
Democratic Republic of Congo,,,,2019
Denmark,DNK,2019,2.6,2019
Djibouti,,,1.42,2018
Dominica,DMA,2019,3.02,2019
Dominican Republic,DOM,2019,1.25,2019
East Timor,,,,2019
Ecuador,ECU,2019,1.39,2019
Egypt,EGY,2019,1.22,2019
El Salvador,SLV,2019,1.06,2019
Equatorial Guinea,,,,2019
Eritrea,ERI,2019,1.01,2019
Estonia,EST,2019,4.53,2019
Eswatini,,,,2019
Ethiopia,,,0.33,2016
Fiji,,,1.89,2017
Finland,FIN,2019,3.35,2019
France,FRA,2019,6.1,2019
Gabon,,,,2019
Gambia,GMB,2019,0.94,2019
Georgia,GEO,2019,4.64,2019
Germany,DEU,2019,7.91,2019
Ghana,,,0.69,2015
Greece,GRC,2019,4.24,2019
Greenland,,,,2019
Grenada,,,3.18,2018
Guatemala,GTM,2019,0.47,2019
Guinea,,,,2019
Guinea-Bissau,,,,2019
Guyana,GUY,2019,2.18,2019
Haiti,HTI,2019,4.87,2019
Honduras,HND,2019,0.65,2019
Hungary,HUN,2019,6.91,2019
Iceland,ISL,2019,2.8,2019
India,IND,2019,1.63,2019
Indonesia,IDN,2019,1.18,2019
Iran,IRN,2019,1.86,2019
Iraq,IRQ,2019,1.2,2019
Ireland,IRL,2019,2.9,2019
Israel,ISR,2019,3.12,2019
Italy,ITA,2019,3.16,2019
Jamaica,JAM,2019,1.73,2019
Japan,JPN,2019,12.88,2019
Jordan,JOR,2019,1.36,2019
Kazakhstan,KAZ,2019,5.13,2019
Kenya,KEN,2019,1.33,2019
Kiribati,,,1.86,2016
Kuwait,KWT,2019,2,2019
Kyrgyzstan,KGZ,2019,4.2,2019
Laos,LAO,2019,1.69,2019
Latvia,LVA,2019,5.42,2019
Lebanon,LBN,2019,2.73,2019
Lesotho,,,,2019
Liberia,,,1.64,2018
Libya,LBY,2019,3.2,2019
Lithuania,LTU,2019,6.22,2019
Luxembourg,LUX,2019,4.26,2019
Madagascar,,,0.32,2014
Malawi,,,,2019
Malaysia,MYS,2019,1.94,2019
Maldives,MDV,2019,6.36,2019
Mali,,,0.25,2018
Malta,MLT,2019,4.11,2019
Marshall Islands,,,,2019
Mauritania,,,,2019
Mauritius,MUS,2019,3.63,2019
Mexico,MEX,2019,0.97,2019
Micronesia (country),,,,2019
Moldova,MDA,2019,5.8,2019
Monaco,,,22.02,2014
Mongolia,MNG,2019,7.94,2019
Montenegro,MNE,2019,3.81,2019
Morocco,MAR,2019,0.7,2019
Mozambique,MOZ,2019,0.71,2019
Myanmar,MMR,2019,1.04,2019
Namibia,,,,2019
Nauru,,,,2019
Nepal,NPL,2019,0.29,2019
Netherlands,NLD,2019,3.02,2019
New Zealand,NZL,2019,2.55,2019
Nicaragua,NIC,2019,0.96,2019
Niger,NER,2019,0.29,2019
Nigeria,,,,2019
North Korea,,,,2019
North Macedonia,MKD,2019,4.19,2019
Norway,NOR,2019,3.47,2019
Oman,OMN,2019,1.1,2019
Pakistan,PAK,2019,0.51,2019
Palau,,,,2019
Palestine,,,,2019
Panama,PAN,2019,1.94,2019
Papua New Guinea,PNG,2019,0.17,2019
Paraguay,PRY,2019,0.9,2019
Peru,PER,2019,1.58,2019
Philippines,PHL,2019,0.98,2019
Poland,POL,2019,6.09,2019
Portugal,PRT,2019,3.51,2019
Puerto Rico,,,,2019
Qatar,QAT,2019,1.12,2019
Romania,ROU,2019,7,2019
Russia,RUS,2019,7.07,2019
Rwanda,RWA,2019,0.72,2019
Saint Kitts and Nevis,KNA,2019,4.32,2019
Saint Lucia,,,1.74,2020
Saint Vincent and the Grenadines,VCT,2019,3.96,2019
Samoa,,,,2019
San Marino,,,3.38,2014
Sao Tome and Principe,STP,2019,2.89,2019
Saudi Arabia,SAU,2019,2.15,2019
Senegal,SEN,2019,0.73,2019
Serbia,SRB,2019,5.34,2019
Seychelles,SYC,2019,3.25,2019
Sierra Leone,,,,2019
Singapore,SGP,2019,2.6,2019
Slovakia,SVK,2019,5.76,2019
Slovenia,SVN,2019,4.38,2019
Solomon Islands,,,,2019
Somalia,SOM,2019,0.87,2019
South Africa,,,,2019
South Korea,KOR,2019,12.42,2019
Spain,ESP,2019,2.95,2019
Sri Lanka,LKA,2019,4,2019
Sudan,SDN,2019,0.66,2019
Suriname,SUR,2019,2.72,2019
Sweden,SWE,2019,2.07,2019
Switzerland,CHE,2019,4.59,2019
Syria,SYR,2019,1.26,2019
Tajikistan,TJK,2019,4.35,2019
Tanzania,TZA,2019,0.61,2019
Thailand,THA,2019,2.22,2019
Togo,TGO,2019,0.58,2019
Tonga,,,,2019
Trinidad and Tobago,TTO,2019,1.9,2019
Tunisia,TUN,2019,1.79,2019
Turkey,TUR,2019,2.84,2019
Turkmenistan,TKM,2019,4.13,2019
Tuvalu,,,,2019
Uganda,,,,2019
Ukraine,UKR,2019,6.67,2019
United Arab Emirates,ARE,2019,1.87,2019
United Kingdom,GBR,2019,2.45,2019
United States,USA,2019,2.75,2019
Uruguay,URY,2019,2.47,2019
Uzbekistan,UZB,2019,4.65,2019
Vanuatu,,,,2019
Venezuela,VEN,2019,0.93,2019
Vietnam,,,2.55,2017
Yemen,,,0.71,2017
Zambia,,,,2019
Zimbabwe,,,2,2014