Entity,Code,Year,Population density,time
Afghanistan,AFG,2019,58.04107,2019
Albania,ALB,2019,105.29241,2019
Algeria,DZA,2019,18.17769,2019
Andorra,AND,2019,162.74681,2019
Angola,AGO,2019,25.969065,2019
Antigua and Barbuda,ATG,2019,207.675,2019
Argentina,ARG,2019,16.433529,2019
Armenia,ARM,2019,102.00123,2019
Australia,AUS,2019,3.312877,2019
Austria,AUT,2019,107.62088,2019
Azerbaijan,AZE,2019,122.328926,2019
Bahamas,BHS,2019,39.42897,2019
Bahrain,BHR,2019,1880.6013,2019
Bangladesh,BGD,2019,1266.9053,2019
Barbados,BRB,2019,653.9907,2019
Belarus,BLR,2019,46.49132,2019
Belgium,BEL,2019,379.47894,2019
Belize,BLZ,2019,16.915081,2019
Benin,BEN,2019,112.86592,2019
Bhutan,BTN,2019,20.053198,2019
Bolivia,BOL,2019,10.773918,2019
Bosnia and Herzegovina,BIH,2019,65.34246,2019
Botswana,BWA,2019,4.1149774,2019
Brazil,BRA,2019,24.820768,2019
Brunei,BRN,2019,84.00133,2019
Bulgaria,BGR,2019,64.254486,2019
Burkina Faso,BFA,2019,76.615326,2019
Burundi,BDI,2019,477.23282,2019
Cambodia,KHM,2019,93.36791,2019
Cameroon,CMR,2019,53.957176,2019
Canada,CAN,2019,4.299035,2019
Cape Verde,CPV,2019,127.57221,2019
Central African Republic,CAF,2019,7.9371843,2019
Chad,TCD,2019,13.250653,2019
Chile,CHL,2019,25.819664,2019
China,CHN,2019,151.62851,2019
Colombia,COL,2019,44.982414,2019
Comoros,COM,2019,422.66684,2019
Congo,COG,2019,16.447016,2019
Costa Rica,CRI,2019,97.915215,2019
Cote d'Ivoire,CIV,2019,88.65728,2019
Croatia,HRV,2019,71.23549,2019
Cuba,CUB,2019,107.92724,2019
Cyprus,CYP,2019,139.2499,2019
Czechia,CZE,2019,136.74446,2019
Democratic Republic of Congo,COD,2019,40.9993,2019
Denmark,DNK,2019,145.36548,2019
Djibouti,DJI,2019,46.96756,2019
Dominica,DMA,2019,90.53467,2019
Dominican Republic,DOM,2019,229.19868,2019
East Timor,TLS,2019,87.48776,2019
Ecuador,ECU,2019,69.81808,2019
Egypt,EGY,2019,108.04476,2019
El Salvador,SLV,2019,300.30484,2019
Equatorial Guinea,GNQ,2019,59.543102,2019
Eritrea,ERI,2019,26.769438,2019
Estonia,EST,2019,31.036749,2019
Eswatini,SWZ,2019,68.59796,2019
Ethiopia,ETH,2019,102.55213,2019
Fiji,FJI,2019,50.076847,2019
Finland,FIN,2019,18.166794,2019
France,FRA,2019,120.04131,2019
French Guiana,GUF,2019,3.448569,2019
Gabon,GAB,2019,8.800831,2019
Gambia,GMB,2019,242.77144,2019
Georgia,GEO,2019,54.63694,2019
Germany,DEU,2019,239.15735,2019
Ghana,GHA,2019,137.38202,2019
Greece,GRC,2019,83.15423,2019
Greenland,GRL,2019,0.13669875,2019
Grenada,GRD,2019,341.16177,2019
Guatemala,GTM,2019,159.60995,2019
Guinea,GIN,2019,53.045536,2019
Guinea-Bissau,GNB,2019,69.97525,2019
Guyana,GUY,2019,4.102957,2019
Haiti,HTI,2019,402.945,2019
Honduras,HND,2019,88.86976,2019
Hungary,HUN,2019,107.060555,2019
Iceland,ISL,2019,3.5773976,2019
India,IND,2019,467.18518,2019
Indonesia,IDN,2019,143.9796,2019
Iran,IRN,2019,53.652786,2019
Iraq,IRQ,2019,94.88486,2019
Ireland,IRL,2019,71.61404,2019
Israel,ISR,2019,400.06775,2019
Italy,ITA,2019,203.33676,2019
Jamaica,JAM,2019,260.69022,2019
Japan,JPN,2019,347.59787,2019
Jordan,JOR,2019,120.18709,2019
Kazakhstan,KAZ,2019,7.115442,2019
Kenya,KEN,2019,89.96526,2019
Kiribati,KIR,2019,152.99753,2019
Kuwait,KWT,2019,249.28181,2019
Kyrgyzstan,KGZ,2019,33.85837,2019
Laos,LAO,2019,31.3589,2019
Latvia,LVA,2019,30.76116,2019
Lebanon,LBN,2019,566.43207,2019
Lesotho,LSO,2019,72.77385,2019
Liberia,LBR,2019,52.364204,2019
Libya,LBY,2019,3.950486,2019
Liechtenstein,LIE,2019,240.3875,2019
Lithuania,LTU,2019,44.64234,2019
Luxembourg,LUX,2019,240.89166,2019
Madagascar,MDG,2019,48.50388,2019
Malawi,MWI,2019,201.80046,2019
Malaysia,MYS,2019,101.78234,2019
Maldives,MDV,2019,1625.79,2019
Mali,MLI,2019,17.266497,2019
Malta,MLT,2019,1575.0531,2019
Marshall Islands,MHL,2019,244.60556,2019
Mauritania,MRT,2019,4.3346405,2019
Mauritius,MUS,2019,644.10065,2019
Mexico,MEX,2019,64.69455,2019
Micronesia (country),FSM,2019,157.56285,2019
Moldova,MDA,2019,94.405914,2019
Monaco,MCO,2019,18297.025,2019
Mongolia,MNG,2019,2.0751874,2019
Montenegro,MNE,2019,45.477547,2019
Morocco,MAR,2019,81.135796,2019
Mozambique,MOZ,2019,38.00246,2019
Myanmar,MMR,2019,80.65442,2019
Namibia,NAM,2019,3.2194002,2019
Nauru,NRU,2019,580.45,2019
Nepal,NPL,2019,198.21461,2019
Netherlands,NLD,2019,520.86444,2019
New Caledonia,NCL,2019,15.515153,2019
New Zealand,NZL,2019,18.948812,2019
Nicaragua,NIC,2019,53.877846,2019
Niger,NER,2019,18.11618,2019
Nigeria,NGA,2019,230.00937,2019
North Korea,PRK,2019,216.24146,2019
North Macedonia,MKD,2019,75.243576,2019
Norway,NOR,2019,14.68069,2019
Oman,OMN,2019,14.8344,2019
Pakistan,PAK,2019,299.39926,2019
Palau,PLW,2019,38.739132,2019
Palestine,PSE,2019,822.86707,2019
Panama,PAN,2019,57.086803,2019
Papua New Guinea,PNG,2019,21.21851,2019
Paraguay,PRY,2019,16.398338,2019
Peru,PER,2019,25.351017,2019
Philippines,PHL,2019,371.6158,2019
Poland,POL,2019,124.88038,2019
Portugal,PRT,2019,112.910324,2019
Puerto Rico,PRI,2019,370.69064,2019
Qatar,QAT,2019,243.50975,2019
Romania,ROU,2019,84.759834,2019
Russia,RUS,2019,8.947562,2019
Rwanda,RWA,2019,517.8802,2019
Saint Kitts and Nevis,KNA,2019,180.66924,2019
Saint Lucia,LCA,2019,291.26886,2019
Saint Vincent and the Grenadines,VCT,2019,267.13333,2019
Samoa,WSM,2019,75.46511,2019
San Marino,SMR,2019,577.9,2019
Sao Tome and Principe,STP,2019,222.29584,2019
Saudi Arabia,SAU,2019,14.175446,2019
Senegal,SEN,2019,84.93703,2019
Serbia,SRB,2019,82.841644,2019
Seychelles,SYC,2019,255.78696,2019
Sierra Leone,SLE,2019,107.12102,2019
Singapore,SGP,2019,7896.3257,2019
Slovakia,SVK,2019,113.36577,2019
Slovenia,SVN,2019,103.466156,2019
Solomon Islands,SLB,2019,26.014862,2019
Somalia,SOM,2019,25.553877,2019
South Africa,ZAF,2019,49.120743,2019
South Korea,KOR,2019,530.4082,2019
South Sudan,SSD,2019,16.49452,2019
Spain,ESP,2019,94.92088,2019
Sri Lanka,LKA,2019,362.27856,2019
Sudan,SDN,2019,24.383392,2019
Suriname,SUR,2019,3.8832052,2019
Sweden,SWE,2019,25.238245,2019
Switzerland,CHE,2019,217.09964,2019
Syria,SYR,2019,110.83993,2019
Taiwan,TWN,2019,668.5721,2019
Tajikistan,TJK,2019,68.66468,2019
Tanzania,TZA,2019,66.803894,2019
Thailand,THA,2019,139.99542,2019
Togo,TGO,2019,155.5997,2019
Tonga,TON,2019,146.7889,2019
Trinidad and Tobago,TTO,2019,289.4538,2019
Tunisia,TUN,2019,76.43592,2019
Turkey,TUR,2019,110.90741,2019
Turkmenistan,TKM,2019,14.478629,2019
Tuvalu,TUV,2019,353.43332,2019
Uganda,UGA,2019,214.44063,2019
Ukraine,UKR,2019,77.59312,2019
United Arab Emirates,ARE,2019,132.04527,2019
United Kingdom,GBR,2019,277.39825,2019
United States,USA,2019,36.92736,2019
Uruguay,URY,2019,19.410381,2019
Uzbekistan,UZB,2019,74.808754,2019
Vanuatu,VUT,2019,23.95357,2019
Venezuela,VEN,2019,32.80777,2019
Vietnam,VNM,2019,310.03442,2019
Western Sahara,ESH,2019,2.0242558,2019
Yemen,YEM,2019,66.50268,2019
Zambia,ZMB,2019,24.904613,2019
Zimbabwe,ZWE,2019,39.476223,2019